name,mark1,mark2,mark3
Student_200,53,83,45
Student_201,100,27,48
Student_202,56,91,97
Student_203,61,87,47
Student_204,66,57,74
Student_205,71,65,38
Student_206,92,74,46
Student_207,24,40,54
Student_208,72,92,37
Student_209,31,86,61
Student_210,88,42,86
Student_211,83,91,57
Student_212,38,37,93
Student_213,49,39,37
Student_214,58,98,95
Student_215,21,32,83
Student_216,36,66,65
Student_217,34,39,28
Student_218,50,51,37
Student_219,28,80,48
Student_220,37,30,54
Student_221,88,77,96
Student_222,87,75,91
Student_223,56,98,48
Student_224,23,54,23
Student_225,57,97,71
Student_226,98,50,50
Student_227,25,32,74
Student_228,97,20,63
Student_229,35,32,87
Student_230,74,60,24
Student_231,81,86,78
Student_232,77,29,65
Student_233,51,91,65
Student_234,65,66,61
Student_235,41,95,94
Student_236,78,63,66
Student_237,71,90,89
Student_238,53,80,78
Student_239,98,71,46
Student_240,63,85,32
Student_241,41,60,50
Student_242,38,24,65
Student_243,55,25,47
Student_244,91,93,88
Student_245,82,86,42
Student_246,33,32,60
Student_247,58,87,63
Student_248,55,62,50
Student_249,63,34,96
Student_250,77,90,100
Student_251,30,96,82
Student_252,45,78,75
Student_253,24,97,85
Student_254,76,94,64
Student_255,21,74,94
Student_256,96,94,49
Student_257,76,78,68
Student_258,78,41,71
Student_259,88,54,44
Student_260,68,34,53
Student_261,40,52,69
Student_262,70,21,21
Student_263,50,33,22
Student_264,34,23,50
Student_265,83,59,37
Student_266,32,89,91
Student_267,92,47,63
Student_268,70,25,36
Student_269,55,68,63
Student_270,50,54,97
Student_271,98,98,63
Student_272,25,62,86
Student_273,58,53,73
Student_274,30,81,37
Student_275,63,29,31
Student_276,34,91,44
Student_277,81,24,88
Student_278,81,55,43
Student_279,22,69,44
Student_280,56,24,45
Student_281,72,91,27
Student_282,51,94,21
Student_283,45,65,39
Student_284,27,43,98
Student_285,68,66,51
Student_286,89,28,39
Student_287,73,94,92
Student_288,60,30,24
Student_289,70,86,99
Student_290,22,20,77
Student_291,56,24,29
Student_292,78,78,88
Student_293,94,35,95
Student_294,83,39,63
Student_295,78,72,64
Student_296,29,52,29
Student_297,92,53,73
Student_298,70,39,75
Student_299,73,64,61
Student_300,36,46,90
Student_301,93,34,35
Student_302,97,54,86
Student_303,53,71,38
Student_304,34,84,20
Student_305,62,40,37
Student_306,27,81,79
Student_307,78,23,53
Student_308,27,80,52
Student_309,54,89,71
Student_310,95,65,27
Student_311,24,47,92
Student_312,30,64,28
Student_313,33,77,29
Student_314,29,35,51
Student_315,22,68,76
Student_316,23,20,95
Student_317,62,53,36
Student_318,73,40,31
Student_319,31,91,50
Student_320,100,32,87
Student_321,81,99,29
Student_322,74,55,83
Student_323,78,57,24
Student_324,37,67,43
Student_325,95,35,73
Student_326,99,44,65
Student_327,80,54,75
Student_328,35,66,25
Student_329,71,79,55
Student_330,21,100,22
Student_331,64,43,70
Student_332,46,49,38
Student_333,20,73,22
Student_334,57,52,52
Student_335,22,66,94
Student_336,77,30,34
Student_337,92,21,71
Student_338,72,48,51
Student_339,63,32,78
Student_340,48,92,31
Student_341,29,42,78
Student_342,56,80,97
Student_343,20,55,32
Student_344,31,93,60
Student_345,35,24,37
Student_346,63,81,46
Student_347,92,77,41
Student_348,67,35,85
Student_349,23,51,81
Student_350,96,68,57
Student_351,47,98,65
Student_352,49,37,49
Student_353,24,22,27
Student_354,100,39,37
Student_355,47,58,75
Student_356,37,51,81
Student_357,20,76,43
Student_358,41,20,81
Student_359,27,90,38
Student_360,37,87,86
Student_361,33,94,88
Student_362,93,34,54
Student_363,89,66,50
Student_364,82,72,50
Student_365,46,33,62
Student_366,54,79,35
Student_367,38,62,35
Student_368,98,28,97
Student_369,98,76,57
Student_370,91,72,94
Student_371,39,37,99
Student_372,35,81,54
Student_373,64,52,79
Student_374,26,39,83
Student_375,39,25,40
Student_376,64,89,77
Student_377,29,78,28
Student_378,60,78,88
Student_379,71,34,92
Student_380,57,24,24
Student_381,35,84,22
Student_382,31,36,59
Student_383,77,57,48
Student_384,22,34,84
Student_385,59,34,55
Student_386,26,42,87
Student_387,28,38,30
Student_388,44,90,47
Student_389,100,20,60
Student_390,96,99,62
Student_391,71,80,26
Student_392,78,97,89
Student_393,85,45,84
Student_394,86,38,56
Student_395,64,63,32
Student_396,60,23,76
Student_397,95,82,21
Student_398,55,62,21
Student_399,40,82,67
Student_400,47,32,62
Student_401,85,91,31
Student_402,67,49,72
Student_403,41,71,63
Student_404,93,33,82
Student_405,97,25,72
Student_406,31,99,26
Student_407,25,100,45
Student_408,81,95,38
Student_409,20,85,65
Student_410,69,66,64
Student_411,100,69,63
Student_412,79,67,65
Student_413,78,57,93
Student_414,56,25,91
Student_415,45,87,47
Student_416,50,82,39
Student_417,82,84,59
Student_418,22,93,55
Student_419,58,36,49
Student_420,71,59,63
Student_421,70,38,92
Student_422,63,79,45
Student_423,84,80,69
Student_424,56,41,100
Student_425,70,96,35
Student_426,91,97,67
Student_427,23,76,61
Student_428,95,93,98
Student_429,42,43,75
Student_430,86,80,85
Student_431,72,40,96
Student_432,44,39,85
Student_433,83,63,78
Student_434,66,95,66
Student_435,77,90,84
Student_436,87,22,70
Student_437,86,75,43
Student_438,84,72,65
Student_439,29,34,80
Student_440,100,34,76
Student_441,65,51,27
Student_442,49,44,35
Student_443,46,55,27
Student_444,93,51,82
Student_445,68,91,70
Student_446,31,60,40
Student_447,35,23,91
Student_448,53,39,74
Student_449,48,22,29
Student_450,30,31,40
Student_451,87,45,36
Student_452,90,86,42
Student_453,23,37,28
Student_454,67,69,62
Student_455,41,59,44
Student_456,28,32,30
Student_457,97,47,46
Student_458,97,44,60
Student_459,97,42,24
Student_460,96,85,96
Student_461,87,70,73
Student_462,98,34,89
Student_463,23,45,90
Student_464,27,85,68
Student_465,73,45,97
Student_466,96,93,73
Student_467,57,57,24
Student_468,54,94,38
Student_469,81,59,27
Student_470,61,59,86
Student_471,97,89,81
Student_472,62,26,71
Student_473,52,53,39
Student_474,61,31,80
Student_475,44,23,28
Student_476,39,34,98
Student_477,27,65,41
Student_478,98,56,87
Student_479,34,52,30
Student_480,25,75,72
Student_481,21,54,51
Student_482,51,78,89
Student_483,54,31,37
Student_484,68,32,36
Student_485,21,85,95
Student_486,72,76,87
Student_487,27,80,47
Student_488,20,53,65
Student_489,53,31,60
Student_490,47,70,88
Student_491,51,46,26
Student_492,67,57,81
Student_493,53,28,27
Student_494,50,64,33
Student_495,37,62,42
Student_496,24,33,44
Student_497,59,44,87
Student_498,43,47,43
Student_499,25,60,54
Student_500,76,39,33
